#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
59158015612436,-0.0229849443,-0.1043970585,-0.4393965304,-0.6831172705,-0.0715253726,0.4282611609,-0.5872200727,-0.1226014122,-0.2369811535,-0.3582604229,0.9368249774,-0.3480342031,-0.0166118108,-0.0309057105
59158022450000,-0.0229913667,-0.1038614511,-0.4391346872,-0.6888095140,-0.0781138539,0.4269044697,-0.5806825757,-0.1231425479,-0.2363129854,-0.3581193984,0.9372383356,-0.3469131291,-0.0155861415,-0.0315071978
59158029812793,-0.0232139938,-0.1033474207,-0.4385812879,-0.6952587366,-0.0856675506,0.4250873029,-0.5732166171,-0.1236953884,-0.2358231544,-0.3580390811,0.9377421737,-0.3455308676,-0.0145721203,-0.0321808644
59158036347463,-0.0248317644,-0.1023004055,-0.4389738142,-0.7012482285,-0.0927991048,0.4232196510,-0.5661486983,-0.1242774650,-0.2355332375,-0.3581487238,0.9381694794,-0.3443479836,-0.0135694835,-0.0328404531
59158043259759,-0.0246578231,-0.1018917561,-0.4386240542,-0.7066722512,-0.0996020660,0.4214759469,-0.5595104098,-0.1248325482,-0.2348752022,-0.3579549491,0.9386069179,-0.3431294858,-0.0126919625,-0.0334381647
59158050237926,-0.0246511102,-0.1015440226,-0.4378965199,-0.7125781775,-0.1074198559,0.4193914533,-0.5520907640,-0.1252042055,-0.2345335484,-0.3575785458,0.9390587211,-0.3418560922,-0.0118419006,-0.0341021791
59158057198892,-0.0245947279,-0.1012815237,-0.4374157786,-0.7180412412,-0.1147840992,0.4174182415,-0.5449802279,-0.1257549524,-0.2341712713,-0.3579720855,0.9394547939,-0.3407534063,-0.0107787279,-0.0345797278
59158064154929,-0.0258362219,-0.1002553701,-0.4378503561,-0.7231500149,-0.1218808591,0.4157094061,-0.5379450917,-0.1262639165,-0.2335770130,-0.3576383591,0.9398641586,-0.3395711780,-0.0100415284,-0.0352993608
59158071107566,-0.0257427059,-0.1000694036,-0.4373153150,-0.7282657623,-0.1296710223,0.4139023721,-0.5305650830,-0.1268453598,-0.2330442667,-0.3576280177,0.9402447939,-0.3384416997,-0.0093945721,-0.0361748375
59158077984860,-0.0270381346,-0.0991688967,-0.4375827909,-0.7330476046,-0.1368587464,0.4121527076,-0.5234894753,-0.1273476779,-0.2326654196,-0.3573782444,0.9405971766,-0.3373893201,-0.0087452317,-0.0369997807
59158085015259,-0.0253479742,-0.0998442173,-0.4365261495,-0.7373509407,-0.1438251585,0.4107514322,-0.5166344643,-0.1278208792,-0.2322075367,-0.3574626148,0.9407536387,-0.3368594348,-0.0083684977,-0.0379247479
59158091881143,-0.0266355202,-0.0990271568,-0.4367012680,-0.7416777015,-0.1509626806,0.4090823829,-0.5096822977,-0.1285555363,-0.2316513062,-0.3575935662,0.9409081340,-0.3363507390,-0.0081198681,-0.0386541225
59158098909400,-0.0265812464,-0.0989822149,-0.4362164140,-0.7458567619,-0.1576908380,0.4074536264,-0.5028049350,-0.1291468292,-0.2310007811,-0.3576689363,0.9410210848,-0.3359494209,-0.0077572349,-0.0394612737
59158105788727,-0.0264667384,-0.0987915993,-0.4358969331,-0.7500608563,-0.1643793732,0.4057083726,-0.4957708120,-0.1295455843,-0.2304475307,-0.3573912382,0.9411690235,-0.3354520500,-0.0072856899,-0.0402455442
59158112786973,-0.0277248584,-0.0979027748,-0.4358891249,-0.7540969849,-0.1711740941,0.4037778974,-0.4888769388,-0.1299104095,-0.2302010059,-0.3574165106,0.9413776994,-0.3348113894,-0.0065754307,-0.0408192314
59158120246868,-0.0276209600,-0.0978254080,-0.4354248047,-0.7580472231,-0.1779707819,0.4015576839,-0.4821228087,-0.1302794665,-0.2299803495,-0.3575105071,0.9415645003,-0.3342317641,-0.0058391346,-0.0413694605
59158126554194,-0.0273701251,-0.0977061987,-0.4350546002,-0.7619268894,-0.1847551763,0.3993017077,-0.4752800465,-0.1305724084,-0.2293453217,-0.3571420908,0.9418064356,-0.3335073590,-0.0051474352,-0.0417972580
59158133515230,-0.0284696259,-0.0968307257,-0.4350454509,-0.7654674053,-0.1917209327,0.3969561160,-0.4687522650,-0.1309353709,-0.2290928364,-0.3572344482,0.9420635104,-0.3327486217,-0.0044809822,-0.0421270430
59158140529139,-0.0281663947,-0.0968964100,-0.4346367121,-0.7687608004,-0.1984852105,0.3945532441,-0.4625345170,-0.1312675923,-0.2286585569,-0.3572684526,0.9423027039,-0.3320522606,-0.0037671840,-0.0423425511
59158147419014,-0.0277295038,-0.0968589783,-0.4343047440,-0.7719736099,-0.2050281316,0.3921470642,-0.4563342035,-0.1314799190,-0.2281893492,-0.3568761647,0.9425525665,-0.3313172758,-0.0032040216,-0.0425837860
59158154715556,-0.0286069848,-0.0961681604,-0.4342207313,-0.7749179006,-0.2118233293,0.3896371722,-0.4503510296,-0.1317864358,-0.2278984785,-0.3569720984,0.9427810311,-0.3306526542,-0.0027417252,-0.0427229144
59158161262296,-0.0282597542,-0.0962319374,-0.4338588119,-0.7777226567,-0.2185083181,0.3869879842,-0.4445694685,-0.1321095824,-0.2273144722,-0.3570120931,0.9429154396,-0.3302669823,-0.0022831762,-0.0427676179
